The provided genome contains 5556 ORFs with an average length of 844 nucleotides.

Location  Strand    Length    
107       -         393       
337       +         2463      
2801      +         933       
3511      -         651       
3734      +         1287      
5682      -         777       
6528      -         1431      
7366      +         408       
8238      +         954       
9306      +         588       
9927      -         567       
10642     -         714       
10830     +         486       
11381     -         405       
12163     +         1917      
12306     -         1173      
13536     -         444       
14168     +         1131      
14515     -         363       
15445     +         1113      
17564     +         1092      
18715     +         906       
19810     -         504       
20698     +         366       
21407     +         942       
22391     +         2817      
22405     -         909       
25826     +         450       
26198     -         387       
26277     +         951       
27293     +         915       
28374     +         822       
28502     -         357       
28874     -         357       
29756     +         1044      
30079     -         456       
30817     +         3222      
32076     -         1083      
33476     -         342       
34300     +         396       
34780     -         402       
35376     -         894       
35446     +         459       
36270     -         1569      
36622     +         360       
37897     -         1218      
38207     +         657       
39145     +         375       
39243     -         1143      
39670     +         354       
40416     -         1515      
42367     +         807       
43188     +         942       
44180     +         1287      
45312     -         474       
45807     +         1332      
47239     -         360       
47246     +         531       
47964     +         1668      
49688     +         615       
50379     -         843       
51160     +         387       
51228     -         378       
51608     -         702       
52426     -         846       
53415     -         1287      
54046     +         525       
54754     -         2355      
56315     +         648       
57364     +         816       
58474     +         651       
59686     -         660       
60357     -         2907      
60364     +         492       
60922     +         378       
62776     +         396       
63428     -         2085      
64209     +         333       
65073     +         345       
65854     -         696       
65996     +         528       
66834     -         1503      
67813     +         834       
68347     -         1701      
68969     +         327       
69350     +         522       
70336     +         930       
71351     +         765       
71879     -         348       
72228     -         654       
72910     -         1320      
74084     +         402       
74496     -         780       
75643     -         1656      
77621     +         1179      
78847     -         606       
79463     -         1401      
79471     +         423       
80227     +         327       
80866     -         1035      
81075     +         384       
81957     -         1572      
82924     +         390       
83348     +         342       
84191     +         1122      
85546     +         1809      
86346     -         306       
87357     +         492       
88142     +         891       
89634     +         459       
90094     +         942       
91077     +         321       
91413     +         1767      
93238     +         1416      
94998     +         1011      
96119     +         966       
96190     -         498       
97087     +         1317      
97097     -         519       
98430     +         1218      
99668     +         1044      
100765    +         1476      
102389    +         765       
103155    +         831       
104047    -         321       
104075    +         1170      
104554    -         405       
105265    -         1065      
105305    +         1152      
106557    +         918       
106778    -         573       
107774    +         444       
108279    +         2706      
108638    -         591       
109673    -         798       
110854    -         381       
111044    +         390       
111855    -         702       
112598    -         621       
113444    +         1044      
114521    -         1140      
115713    -         1386      
117211    -         384       
117751    -         936       
118733    +         552       
118882    -         312       
119416    +         720       
120177    -         1374      
122092    +         765       
123017    +         2664      
123265    -         1767      
125695    +         1893      
126402    -         1230      
127879    +         1458      
127992    -         390       
129406    -         1854      
130551    +         336       
131462    +         2751      
132181    -         930       
133396    -         840       
134340    +         411       
135597    -         867       
136569    -         348       
137083    +         1551      
138834    -         2391      
140413    +         366       
141419    +         549       
142007    -         663       
142779    +         927       
143762    +         711       
144577    +         441       
145081    +         1230      
146313    -         381       
146968    +         903       
147943    -         798       
148806    -         795       
149714    -         1239      
151002    -         597       
151625    -         606       
152242    -         570       
152253    +         336       
152828    -         2478      
155460    -         741       
156298    -         585       
157728    -         1245      
159185    -         927       
159381    +         414       
160148    -         456       
160781    -         705       
161500    -         744       
162060    +         2475      
163974    -         414       
164730    +         2535      
164936    -         513       
167484    +         2244      
169778    +         798       
170620    +         846       
170765    -         426       
171238    -         369       
171537    +         1908      
172336    -         333       
173601    -         1281      
173731    +         375       
174679    +         417       
175107    +         1422      
176610    +         345       
177000    -         624       
177661    -         597       
178454    -         699       
179237    +         1518      
180864    -         375       
180884    +         1425      
181542    -         330       
182463    +         1158      
183708    -         387       
184256    -         813       
185122    -         825       
185977    -         2673      
188711    -         795       
189874    +         726       
190550    -         1053      
190857    +         852       
191855    +         726       
192908    +         522       
193521    +         1197      
194906    +         759       
195785    +         750       
196546    +         1353      
197928    +         2433      
199274    -         318       
200566    +         402       
200971    +         1026      
201237    -         561       
202169    -         417       
202911    +         438       
203304    -         396       
203483    +         1014      
204754    +         336       
204834    -         465       
205126    +         3483      
206226    -         507       
207438    -         369       
208551    -         423       
208621    +         960       
209679    +         2142      
209873    -         825       
211877    +         390       
212331    +         1299      
214291    +         546       
215269    +         711       
216178    -         825       
217056    -         1719      
217091    +         309       
218284    +         378       
218886    -         510       
219590    -         405       
220112    -         816       
220967    -         642       
221613    -         1032      
221644    +         540       
222947    +         462       
229167    +         804       
229966    -         915       
231143    +         780       
231926    +         624       
232596    -         1359      
232610    +         321       
234026    -         756       
234816    +         723       
235534    -         330       
235994    -         366       
236058    +         741       
236445    -         351       
237335    +         786       
237487    -         309       
237859    -         357       
238256    -         480       
238745    -         339       
239418    -         726       
240343    +         474       
240435    -         357       
240858    -         2445      
241678    +         483       
242818    +         420       
243525    +         597       
243650    -         507       
244327    +         768       
245064    -         741       
246712    +         750       
247637    +         498       
248357    -         1740      
248421    +         489       
248916    +         447       
249630    +         369       
250324    +         504       
250362    -         549       
250898    +         1056      
251211    -         348       
251681    -         303       
252301    +         399       
252709    +         453       
253282    -         312       
254258    -         1266      
254307    +         315       
255977    +         459       
256108    -         420       
256527    +         1245      
257829    +         402       
258268    -         1062      
259612    +         1104      
260183    -         372       
260727    +         1254      
261671    -         363       
262551    -         342       
262913    -         318       
263016    +         495       
263479    -         477       
263534    +         405       
263971    -         624       
264843    -         468       
265333    -         858       
265823    +         324       
266407    -         837       
267320    -         864       
267382    +         393       
268512    -         894       
269502    +         369       
269944    +         1035      
271339    -         318       
271691    -         309       
272086    +         1131      
273324    -         1017      
273673    +         357       
274525    +         1428      
274841    -         645       
276005    +         867       
276137    -         384       
276979    -         1059      
277751    +         393       
278401    -         504       
279247    -         339       
279608    -         378       
279867    +         438       
280052    -         1155      
281429    -         798       
281481    +         930       
282425    +         1968      
282675    -         360       
283122    -         309       
283482    -         468       
284619    +         1383      
285464    -         534       
286013    +         1611      
287627    -         759       
288454    +         315       
288524    -         1005      
289872    -         504       
290645    -         399       
290724    +         732       
291545    -         627       
292443    -         699       
293168    -         855       
294362    -         441       
294919    -         1401      
296993    -         957       
297959    -         1638      
298167    +         324       
300154    -         846       
301107    -         690       
302215    +         615       
303076    -         330       
303718    -         657       
304397    -         1620      
306030    -         2526      
308504    +         495       
308581    -         669       
309307    -         588       
309969    -         543       
313581    +         888       
314811    +         867       
315673    -         687       
316949    -         603       
317899    -         1353      
319451    +         855       
319746    -         309       
320883    +         669       
321562    +         1428      
322116    -         438       
323153    +         525       
323919    -         669       
324800    -         1533      
326484    -         1473      
326662    +         528       
327970    -         606       
328687    +         2034      
331595    +         1089      
332724    -         933       
333748    -         498       
334504    +         606       
335404    +         609       
336056    +         1494      
336916    -         402       
337603    +         1365      
338232    -         675       
338986    +         372       
339389    +         951       
339817    -         378       
340349    +         1383      
341035    -         345       
341548    -         345       
342092    -         387       
342108    +         1050      
343400    +         816       
344889    -         672       
346080    -         1587      
347906    +         891       
347911    -         369       
348616    -         660       
349236    +         1170      
349532    -         525       
350439    +         1452      
350441    -         453       
351518    -         681       
351930    +         1887      
352232    -         564       
352922    -         1017      
354224    +         1182      
355512    +         1167      
357014    -         984       
358016    -         351       
358332    +         351       
358713    +         471       
359189    +         1182      
360472    -         663       
361149    -         1254      
362454    -         3075      
363281    +         312       
364342    +         315       
365651    -         792       
366483    -         318       
366810    -         948       
367424    +         327       
367835    +         1665      
368941    -         333       
369501    +         945       
369698    -         378       
370381    -         969       
370448    +         882       
371333    +         816       
371784    -         609       
372199    +         897       
372998    -         843       
373140    +         966       
374493    +         336       
374830    +         1065      
375996    +         540       
376758    -         834       
377685    -         1110      
378019    +         687       
379292    -         774       
380575    +         366       
380942    -         303       
381012    +         792       
381962    -         1197      
383282    -         405       
384399    +         1020      
384752    -         354       
385431    +         768       
385831    -         393       
386408    +         615       
387976    -         1008      
389475    +         1461      
390962    -         867       
392187    -         654       
392446    +         1197      
393685    +         669       
394353    -         1008      
395863    +         1221      
397096    +         1095      
398248    -         309       
399052    -         1095      
401046    +         1341      
402487    +         339       
402927    +         1116      
403247    -         348       
404058    -         810       
404206    +         756       
404988    +         459       
405629    +         525       
406652    +         678       
408001    -         306       
408331    -         978       
408741    +         318       
409242    +         1035      
410520    -         1185      
411830    -         2934      
414973    -         1227      
416366    +         690       
417198    -         342       
417299    +         1110      
418815    +         1320      
420210    +         1374      
420275    -         762       
421739    +         1818      
421879    -         312       
422254    -         609       
423560    -         582       
424235    +         1071      
424369    -         417       
425361    +         1128      
426511    +         333       
426904    +         1815      
427799    -         303       
428786    +         915       
429829    +         348       
430352    -         885       
431535    -         600       
432226    +         450       
432697    +         1086      
433820    +         522       
433822    -         357       
434330    -         534       
434858    +         978       
435861    +         471       
435905    -         399       
436384    -         975       
437538    -         1863      
437648    +         330       
439032    +         384       
439425    -         900       
439743    +         402       
440773    +         1449      
441165    -         1077      
442329    +         633       
442827    -         912       
443889    +         510       
444525    -         1365      
445216    +         348       
446038    -         891       
447269    -         516       
447522    +         381       
447873    -         1992      
447916    +         1257      
449886    -         948       
450533    +         306       
451293    -         1476      
451880    +         438       
452768    +         600       
452812    -         681       
453663    +         351       
454357    +         1299      
454365    -         1302      
455901    +         624       
456008    -         402       
456422    -         324       
456650    +         1275      
458112    +         2355      
458393    -         690       
461139    +         1872      
461150    -         765       
462872    -         351       
463161    +         372       
463626    +         399       
464075    -         696       
464835    -         1701      
466636    +         819       
467607    +         459       
468182    +         1686      
468423    -         414       
468943    -         339       
469950    +         1692      
470937    -         693       
471822    +         339       
472190    +         1287      
473524    -         861       
473801    +         495       
474603    +         573       
475205    -         390       
475499    +         339       
475896    +         354       
476290    -         1557      
478004    -         471       
478590    -         552       
479557    -         375       
480477    -         3150      
481840    +         363       
483649    -         1194      
484985    +         648       
485760    +         3363      
488822    -         360       
490106    +         378       
490636    +         552       
490734    -         450       
491316    +         1932      
492497    -         327       
493058    -         378       
493300    +         330       
493659    +         576       
494344    +         1875      
494652    -         1593      
496223    +         369       
496362    -         552       
496684    +         360       
497279    +         963       
497288    -         306       
497842    -         360       
498237    -         960       
499349    +         1305      
499927    -         573       
500714    +         405       
500785    -         1677      
502699    -         1221      
504138    +         1653      
504512    -         492       
505826    -         480       
506509    -         795       
507388    +         396       
507548    -         405       
508090    +         693       
508098    -         2505      
508918    +         378       
509351    +         399       
509755    +         402       
510865    +         933       
511040    -         336       
511800    +         1293      
513217    +         408       
513624    -         447       
514079    -         918       
515143    +         678       
515852    +         735       
516598    +         786       
516648    -         891       
517563    -         771       
518362    -         657       
518787    +         372       
519185    +         459       
519754    +         2301      
522485    +         4281      
524236    -         567       
525043    -         1062      
526805    +         369       
527185    +         699       
528868    -         372       
529355    -         1095      
530518    -         927       
531675    +         483       
532235    +         816       
533140    +         1782      
534934    +         777       
535810    +         879       
536857    +         1455      
538371    +         1362      
538679    -         498       
539197    -         345       
539789    +         1302      
541112    +         1146      
541794    -         435       
542484    -         786       
543280    -         1236      
544537    -         1050      
544943    +         411       
545904    +         1668      
547119    -         303       
547708    -         315       
547880    +         960       
548167    -         693       
548850    +         816       
549697    -         687       
549908    +         648       
550749    -         1026      
551032    +         363       
551813    -         510       
551816    +         312       
552440    -         549       
553165    -         495       
553834    +         1386      
553836    -         348       
555254    -         522       
556097    -         867       
557435    +         543       
558197    +         693       
558920    +         2604      
561565    +         978       
562521    -         369       
562553    +         516       
563070    -         696       
564037    -         1164      
564462    +         312       
565246    +         510       
566361    +         867       
567538    +         333       
568125    +         1527      
570116    +         552       
570677    +         798       
571788    +         357       
572165    -         339       
573179    +         384       
573959    -         1017      
574308    +         357       
574980    -         1128      
576836    +         498       
577489    +         303       
578406    -         453       
580057    +         546       
580175    -         357       
580757    +         564       
581374    -         432       
582904    +         750       
583902    -         954       
584750    +         360       
585369    -         762       
586313    -         891       
587204    -         1935      
587976    +         390       
590163    -         2163      
592550    -         1341      
593244    +         534       
593982    -         684       
594823    +         1374      
596354    +         333       
596523    -         429       
596702    +         1224      
597937    +         3144      
598767    -         444       
599510    -         474       
601332    +         1227      
602638    -         1248      
603993    -         654       
604069    +         483       
604740    -         369       
605487    -         1119      
607288    +         1113      
608681    -         630       
609438    +         390       
609476    -         2295      
611025    +         561       
612038    +         1125      
612621    -         384       
613254    +         4008      
614129    -         354       
617477    +         1134      
618606    -         648       
618889    +         378       
619418    -         864       
619603    +         474       
620407    -         1017      
621099    +         372       
621523    +         1251      
622776    -         615       
624108    +         1176      
625293    +         1611      
625484    -         315       
626917    +         858       
627015    -         459       
627924    +         597       
628201    -         339       
628523    +         414       
629117    +         2106      
629191    -         489       
631611    -         1089      
632278    +         375       
632809    +         1161      
633969    -         531       
634571    -         1221      
635938    -         903       
637049    -         807       
638168    +         564       
638946    +         1596      
640661    -         429       
641142    -         348       
641311    +         1239      
642630    +         462       
642779    -         411       
643419    -         825       
644339    -         1464      
645853    -         795       
646706    -         552       
647226    +         1395      
647261    -         1533      
648804    -         924       
649519    +         324       
650020    -         1059      
650087    +         405       
651458    +         1659      
653139    +         627       
653805    -         477       
654245    +         1017      
654556    -         357       
655298    -         1092      
656979    +         561       
657976    -         315       
658617    -         315       
658677    +         564       
659672    -         966       
659874    +         849       
660846    -         687       
662058    -         576       
663173    -         1284      
664523    -         1089      
665283    +         438       
665622    -         1113      
666737    -         1902      
667047    +         879       
668669    -         435       
668701    +         444       
669717    -         615       
670352    -         642       
670995    -         822       
672026    -         486       
672590    +         1680      
672622    -         2724      
674411    +         654       
675440    +         483       
675991    -         984       
676336    +         588       
677133    +         708       
678149    +         1116      
679273    -         555       
679930    +         708       
680946    +         1140      
682144    -         1671      
683898    -         936       
684473    +         327       
684951    -         486       
684955    +         603       
685676    -         558       
686350    -         741       
687260    -         909       
687625    +         342       
688418    -         1017      
688767    +         357       
689764    -         1539      
691327    -         879       
691373    +         420       
691920    +         312       
692759    -         1080      
693396    +         567       
693952    -         1425      
694535    +         429       
695523    +         1176      
695909    -         495       
697934    -         1665      
699995    -         753       
700365    +         435       
700795    -         1221      
701276    +         756       
702024    -         1149      
702421    +         378       
702926    +         321       
703232    -         801       
703338    +         543       
704366    +         1947      
704611    -         324       
706515    +         1665      
